226;Shnejder Mihail Jakovlevich;1;4;8
228;Werbakov Aleksandr Veniaminovich;1;4;8
379;Yankauskas Konstantin Konstantin Stanislavovich;1;4;8
106;Korovin Vadim Aleksandrovich;1;5;9
124;Loskutov Artem Aleksandrovich;1;5;9
172;Prjanikov Pavel Nikolaevich;1;5;9
195;Smirnov Sergej Sergeevich;1;5;9
54;Gazarjan Suren Vladimirovich;1;6;10
99;Kozyrev Oleg Vilisovich;1;6;10
127;Ljaskin Nikolaj Nikolaevich;1;6;10
143;Naganov Vladislav Igorevich;1;6;10
216;Chirikova Evgenija Sergeevna;1;6;10
67;Gudkov Dmitrij Gennad'evich;1;7;11
90;Ivanov Dmitrij Sergeevich (kamikadze_d);1;7;11
146;Nekrasov Dmitrij Aleksandrovich;1;7;11
382;Yashin Ilya Valer'evich;1;7;11
29;Bilunov Denis Borisovich;1;8;12
96;Kasparov Garri Kimovich;1;8;12
164;Piontkovskij Andrej Andreevich;1;8;12
9;Adagamov Rustem Rinatovich;1;9;13
37;Bykov Dmitrij L'vovich;1;9;13
76;Dzjadko Filipp Viktorovich;1;9;13
118;Lazareva Tat'jana Jur'evna;1;9;13
134;Mirzoev Vladimir Vladimirovich;1;9;13
158;Parhomenko Sergej Borisovich;1;9;13
184;Rusakova Elena Leonidovna;1;9;13
197;Sobchak Ksenija Anatol'evna;1;9;13
223;Shac Mihail Grigor'evich;1;9;13
84;Zhiljaev Arsenij Aleksandrovich;1;10;14
107;Kosjakin Konstantin Jur'evich;1;10;14
125;Luk'janova Elena Anatol'evna;1;10;14
128;Magkoeva Bella (Izabel') Kazbekovna;1;10;14
130;Mal'ceva Anastasija Anatol'evna (Anastasija Hrustal'naja);1;10;14
154;Otstavnyh Valerij Vladimirovich;1;10;14
166;Ponomarev Il'ja Vladimirovich;1;10;14
173;Putenihin Dmitrij Viktorovich (Matvej Krylov);1;10;14
208;Udal'cov Sergej Stanislavovich;1;10;14
209;Udal'cova Anastasija Olegovna;1;10;14
381;Yashin (Yasin) Igor' Gennad'evich;1;10;14
12;Aleksandrova-Zorina Elizaveta Borisovna;1;11;15
15;Anshakov Mihail Gennad'evich;1;11;15
31;Bogomolov Jurij Aleksandrovich;1;11;15
43;Vasil'eva Elena Borisovna;1;11;15
47;Vistickij Mihail Mihajlovich;1;11;15
61;Gongal'skij Maksim Bronislavovich;1;11;15
70;Davydenko Denis Vjacheslavovich;1;11;15
88;Zorin Konstantin Igorevich;1;11;15
95;Karzhaeva Neonila Vasil'evna;1;11;15
100;Kolganov Anton Jur'evich;1;11;15
121;Levchenko Ekaterina Valentinovna;1;11;15
138;Mosha Jurij Igorevich;1;11;15
140;Muhin Jurij Ignat'evich;1;11;15
192;Semenov Vladimir Matveevich;1;11;15
193;Semenov Igor' Vjacheslavovich;1;11;15
199;Starikov Ivan Valentinovich;1;11;15
203;Suhareva Tat'jana Viktorovna;1;11;15
227;Shulipa Jurij Jur'evich;1;11;15
22;Barabash Kirill Vladimirovich;1;12;16
33;Brusilovskij Maksim Anatol'evich;1;12;16
34;Budnikova Sof'ja Vladimirovna;1;12;16
59;Gluskin Vladimir Aleksandrovich;1;12;16
112;Krjukov Vasilij Anatol'evich;1;12;16
115;Kuznecov Andrej Vladimirovich;1;12;16
132;Matveev Mihail Nikolaevich;1;12;16
136;Mickevich Vladislav Rudol'fovich;1;12;16
165;Poljakov Anatolij Viktorovich;1;12;16
167;Potkin (Basmanov) Vladimir Anatol'evich;1;12;16
171;Prohorov (Shinfejn) Maksim Gennad'evich;1;12;16
198;Sporyhina Ul'jana Viktorovna;1;12;16
204;Suhorukov Dmitrij Vladimirovich;1;12;16
212;Holmogorova Natalija Leonidovna;1;12;16
214;Chernov Dmitrij Valer'evich;1;12;16
219;Shalimova Nadezhda Valer'evna;1;12;16
10;Aitova Ekaterina Petrovna;2;1;5
13;Andrejanov Sergej Nikolaevich;2;10;14
35;Budrajtskis Il'ja Borisovich;2;2;6
50;Volkova Aleksandra Ivanovna (Zhenja Otto);2;10;14
57;Gaskarov Aleksej Vladimirovich;2;10;14
92;Kavkazskij Nikolaj Jur'evich;2;10;14
120;Lebedev Konstantin Vladimirovich;2;0;2
133;Medvedev Kirill Feliksovich;2;10;14
148;Nikolaev Aleksandr Aleksandrovich;2;1;5
156;Palchaev Akim Nazhmudinovich;2;10;14
162;Pechenev Aleksandr Sergeevich;2;10;14
177;Razvozzhaev Leonid Mihajlovich;2;10;14
178;Rafailov Georgij Georgievich;2;0;2
190;Sannikov Maksim Andreevich;2;0;2
191;Sahnin Aleksej Viktorovich;2;10;14
218;Shalimov Roman Nikolaevich;2;10;14
69;Davidis Sergej Konstantinovich;3;4;8
78;Dolgih Anton Vital'evich;3;0;3
86;Zavesov Aleksandr L'vovich;3;0;3
87;Zalesskij Aleksandr Valer'evich;3;4;8
94;Karetnikova Anna Georgievna;3;4;8
163;Pivovarov Andrej Sergeevich;3;1;5
185;Ryklin Aleksandr Jur'evich;3;8;12
207;Tjutrin Ivan Ivanovich;3;8;12
213;Car'kov Pjotr Anatol'evich;3;4;8
220;Shal'nev Andrej Sergeevich;3;5;9
225;Shelkov Pavel Nikolaevich;3;11;15
16;Artjomov Igor' Vladimirovich;4;12;16
32;Bondarik Nikolaj Nikolaevich;4;11;15
52;Vorob'ev Stanislav Anatol'evich;4;12;16
74;Demushkin Dmitrij Nikolaevich;4;12;16
81;Droveckij Vasilij Valer'evich;4;0;4
101;Kolesnikov Vadim Vladimirovich;4;0;4
105;Konstantinov Daniil Il'ich;4;12;16
108;Kralin Vladlen Leonidovich (Vladimir Tor);4;0;4
110;Krylov Konstantin Anatol'evich;4;0;4
168;Potkin (Belov) Aleksandr Anatol'evich;4;12;16
176;Radchenko Vsevolod Valer'evich;4;12;16
179;Rezchikov (Abanin) Aleksej Romanovich;4;0;4
206;Tjurin Andrej Vladimirovich;4;0;4
